t_s,dt_s,ax_dynamic,az_dynamic,accel_xz_magnitude
4.759397,0.009946,-1.372722,0.445002,1.443050
4.769409,0.010012,-0.231885,-1.189041,1.211441
4.779368,0.009959,0.518697,-0.892160,1.031986
4.789370,0.010001,0.517500,-0.266076,0.581896
4.799387,0.010018,0.261320,0.253466,0.364051
4.809383,0.009995,-0.157665,0.397118,0.427271
4.819337,0.009954,-0.616155,-0.923284,1.110000
4.829370,0.010033,-0.746639,0.028411,0.747179
4.839540,0.010169,0.716218,-1.619997,1.771259
4.849340,0.009801,0.589326,-0.698229,0.913690
4.859338,0.009998,0.319978,0.581471,0.663698
4.869400,0.010062,0.002746,0.613793,0.613799
4.879359,0.009959,-0.752624,-0.310369,0.814108
4.889342,0.009983,-1.321247,1.174036,1.767500
4.899551,0.010209,0.420535,-1.545777,1.601960
4.909428,0.009877,0.730584,-0.913708,1.169878
4.919547,0.010119,-0.389903,1.624146,1.670292
4.929625,0.010078,-0.357581,1.713929,1.750833
4.939270,0.009645,-0.344413,0.464155,0.577980
4.949272,0.010003,-0.076262,-0.152351,0.170373
4.959514,0.010242,0.060207,0.039185,0.071836
4.969629,0.010115,0.206254,-1.245305,1.262269
4.979435,0.009807,-0.501233,0.482112,0.695461
4.989406,0.009971,0.477995,-1.573310,1.644319
4.999222,0.009815,0.401381,-0.371421,0.546864
5.009269,0.010048,0.218225,0.460564,0.509648
5.019337,0.010068,0.030280,0.399512,0.400658
5.029911,0.010574,-0.418633,0.427045,0.598015
5.039321,0.009410,-1.140485,1.516407,1.897418
5.049332,0.010011,0.048236,-0.890963,0.892267
5.059362,0.010030,0.736569,-1.330299,1.520601
5.069359,0.009997,0.637210,-0.294806,0.702102
5.079337,0.009978,-0.125343,0.474929,0.491191
5.089353,0.010016,-0.163651,0.916660,0.931153
5.099349,0.009996,-1.011198,2.043131,2.279673
5.109324,0.009975,-0.383917,-0.622812,0.731633
5.119342,0.010017,0.735372,-1.226151,1.429762
5.129325,0.009983,1.269279,-0.905328,1.559066
5.139337,0.010012,1.262096,0.043973,1.262862
5.149348,0.010011,1.056195,0.634144,1.231944
5.159324,0.009976,0.008732,3.619713,3.619724
5.169366,0.010042,0.926908,-0.120030,0.934648
5.179349,0.009983,1.560175,-0.014685,1.560244
5.189830,0.010481,1.971977,-0.770055,2.116998
5.199370,0.009541,2.074928,-0.984337,2.296572
5.209384,0.010014,0.093726,2.032358,2.034518
5.219491,0.010106,0.311598,-1.701400,1.729698
5.229450,0.009960,1.020282,-0.437261,1.110033
5.239365,0.009915,-0.725091,0.847228,1.115146
5.249375,0.010010,-0.998030,-0.625206,1.177687
5.259338,0.009963,-1.154850,0.017637,1.154985
5.269387,0.010049,-0.938175,0.380358,1.012346
5.279364,0.009976,0.037462,-1.222560,1.223133
5.289363,0.009999,0.342723,0.154106,0.375776
5.299533,0.010170,0.284065,0.781387,0.831420
